Daewoo Sens	2002	7250	18
ÓÀÇ 3303	2004	7300	20
Daewoo Lanos	2002	7320	25
ÂÀÇ 2115	2004	7415	28
Niva Chevrolet	2003	13460	30
Chevrolet Aveo	2004	10000	39
Opel Astra	2000	27545	43
Opel Corsa	2000	27650	56
Ford Focus II	2004	17785	63
Chevrolet Lacetti	2004	22830	60
Honda HR-V	2002	17860	59
VW Polo	2003	11919	64
Honda CR-V	2001	17950	67
Opel Vectra	2000	18020	69
Honda FR-V	2003	18145	68
VW Golf-5	2002	18230	60
Land Rover Freelancer	2003	18445	69
VW New Beetle	2003	17000	72
Honda S2000	2002	32000	76
Toyota RAV4	2003	28000	69
Nissan 350Z	2004	59000	79
Audi TT Coupe	2003	40000	80
Toyota Land Cruiser 100	2004	20000	77
Honda NSX	2004	32000	83
Lexus LS	2003	12000	88
Jaguar X-Type	2004	20000	98
Mazda 6 MPS	2006	42300	95
Lamborghini Murcielago	2006	320000	84
Volvo C70	2006	55000	92
Chevrolet Aveo 2006	2006	11000	77
Audi Q7 4.2	2006	107673	93
BMW M3 CS	2005	80000	90
Audi RS4	2006	111700	87
Mercedes C55	2005	73900	91
Mitsubishi Evo IX	2006	60000	77
Porsche 911 Carrera 4S	2005	107000	89
BMW 550i	2006	88400	92
Mercedes E500	2006	74940	92
Lexus RX400H	2005	77300	94
Fiat Punto Sporting	2006	20490	73
Ford Sportka	2005	18660	76
Citroen C2 VTS	2005	16000	75
Ford Fiesta ST	2005	24400	74
Opel Astra OPC	2005	31230	76
Subaru Impreza WRX	2005	38000	79
Pagani Zonda F	2005	720000	93
Ford GT	2005	225000	95
Mercedes McLaren SLR 1	2005	579970	92
Ferrari 575M Maranello	2004	320000	90
Ferrari F430	2005	220000	87
Koenigsegg CCR	2005	750000	91
Bugatti Veyron 16.4	2006	1200000	97
BMW M6	2005	152000	88
Mazda MX-5 Miata	2003	35000	81
BMW Z4 3.0i	2004	56900	86
Peugeot 407 3.0	2005	38000	83
