Alpha P125CM60	2000	407	6000	51
GlobalWin VOS-32	2000	479	3200	37
ElanVital FSS1B3-M	2000	498	3000	29
ElanVital FSK703	2000	504	3000	27
ElanVital FSPKB3	2000	519	2800	21
Thermal Master TM5-2550	2000	507	2500	24
Cooler Master DP5-5f53	2000	459	5300	44
Titan TTC-D5TB	2002	338	3000	29
Zalman CNPS3000-Plus	2001	435	2800	32
GlobalWin FOP38	2002	359	7000	55
Titan TTC-D3T	2002	327	4000	35
GlobalWin CAK38	2002	310	6800	49
Zalman CNPS3100-Plus	2001	459	1600	20
Titan TTC-D3TB	2002	354	4000	33
Vantec GSN-7025	2001	412	5000	39
Cooler Master DP5-5G11B	2001	190	5500	35
GlacialTech Igloo 2300	2001	199	4600	38
AOpen Open Cooler AC715E	2001	315	4800	41
Cooler Master CB5-5G12	2001	242	4500	31
Titan TTC-D2T	2001	205	4500	28
Vantec FCE-6254OD	2001	275	6800	47
Cooler Master DP5-6I11A	2001	259	4800	37
Arctic Storm 1	2001	286	4500	32
Thermaltake Golden Orb	2001	277	4800	32
Thermaltake Volcano 7+	2002	275	6000	47
Vantec FCE-6030D	2001	247	6800	47
Thermaltake Super Orb	2001	261	5500	34
Arctic Storm 2	2001	297	4800	34
Vantec CCK-6035D	2001	276	6800	47
Thermaltake Spark 7	2002	430	6000	47
GlacialTech IgIoo 4300	2002	251	4700	38
Dr. Thermal TI-H8639L	2002	213	4400	34
Gembird 119	2004	68	5000	41
Zalman CNPS7000-Cu	2004	212	2500	25
Zalman CNPS5700D-Cu	2003	186	3000	34
Titan TTC-W6TB	2003	195	3900	38
GlacialTech Turbine 4500	2005	307	3800	26
Zalman CNPS9500	2005	372	3200	27
Foxconn CMI-30	2005	201	3000	35
Zalman CNPS7700-Cu	2006	282	2000	32
Titan TTC-NK15TB	2006	204	2400	29
Zalman CNPS800	2006	259	2600	28
Zalman Fata1ty FS-C77	2006	309	2400	40
Titan Vanessa L-type	2006	217	2000	22
Scythe Kamaboko Z	2006	166	3800	46
Asus Silent Square	2006	273	1800	20
