AMD Duron 700 MHz	2000	432	6318	7	100	133|266
AMD Duron 800 MHz	2000	479	6539	8	100	133|266
Intel Celeron 700 MHz	2000	454	5925	7	100	815|440
Intel Celeron 800 MHz	2000	493	6228	8	100	815|440
Intel Pentium III 500 MHz	2000	548	7211	5	100	815|440
Intel Pentium III 600 MHz	2000	629	7995	6	100	815|440
Intel Pentium III 700 MHz	2000	782	8312	7	100	815|440
Intel Pentium III 800 MHz	2000	957	8756	8	100	815|440
Intel Pentium III 933 MHz	2000	1439	9016	7	133	815
AMD Duron 1,0 GHz	2001	312	9502	10	100	266|333|400|nf1|nf2|nf3|755|UM1
AMD Duron 1,1 GHz	2001	350	10070	11	100	266|333|400|nf1|nf2|nf3|755|UM1
AMD Duron 1,2 GHz	2001	378	10528	12	100	266|333|400|nf1|nf2|nf3|755|UM1
AMD Duron 1,3 GHz	2001	392	10958	13	100	266|333|400|nf1|nf2|nf3|755|UM1
Intel Celeron 1,2 GHz	2001	457	8797	12	100	845|850|865|875|645|650
AMD Athlon XP 1500+	2002	533	12507	10	133	333|400|nf2|nf3|755|UM1
Intel Celeron 1,3 GHz	2001	472	9109	13	100	845|850|865|875|645|650
Intel Celeron 1,7 GHz	2002	572	9851	17	100	845|850|865|875|645|650
AMD Athlon XP 1700+	2002	575	13718	11	133	333|400|nf2|nf3|755|UM1
Intel Celeron 1,8 GHz	2002	609	10135	18	100	845|850|865|875|645|650
AMD Athlon XP 1900+	2002	622	14316	12	133	333|400|nf2|nf3|755|UM1
Intel Celeron 2 GHz	2002	675	10253	20	100	845|850|865|875|645|650
AMD Athlon XP 2100+	2002	688	14859	13	133	333|400|nf2|nf3|755|UM1
Intel Pentium 4 1,8 GHz	2002	748	12493	18	100	845|850|865|875|645|650
Intel Pentium 4 2 GHz	2002	811	13242	20	100	845|850|865|875|645|650
AMD Athlon XP 2400+	2002	1009	15701	15	133	333|400|nf2|nf3|755|UM1
Intel Pentium 4 2,40 GHz	2002	1112	14414	18	133	845|850|865|875|645|650
AMD Athlon XP 2500+	2002	1355	16205	11	166	333|400|nf2|nf3|755|UM1
Intel Pentium 4 2,53 GHz	2002	1454	16328	19	133	845|850|865|875|645|650
Intel Pentium 4 2,66 GHz	2002	1754	16656	20	133	845|850|865|875|645|650
AMD Athlon XP 2700+	2002	1892	16477	13	166	333|400|nf2|nf3|755|UM1
Intel Pentium 4 2,80 GHz	2002	2536	17061	21	133	845|850|865|875|645|650
Intel Pentium 4 3,06 GHz	2003	4923	17478	23	133	845|850|865|875|645|650
AMD Athlon XP 3200+	2003	4588	19567	11	200	400|nf2|nf3|755|UM1
