Seagate U4 6421	2000	7	5400	506
Quantum Fireball ICT10	2000	10	5400	533
Seagate Barracuda ST310210A	2000	10	5400	551
IBM Deskstar 75GXP	2000	30	5400	864
Western Digital WD1200JB	2002	120	7200	1008
Seagate Cheetah X15-36LP	2001	18	15000	1127
Samsung SpinPoint SP4002H	2002	40	7200	560
IBM Ultrastar 73LZX	2001	36	10000	1592
Samsung SpinPoint SV0411N	2003	40	5400	398
IBM Deskstar IC35L180AVV 207-1	2003	160	7200	1187
Western Digital 800 JB	2003	80	7200	649
Seagate Cheetah 36ES	2001	36	10000	1483
Seagate Barracuda V ST3120023A	2003	40	5400	580
Maxtor Fireball 3 2F040J0	2003	40	7200	617
Western Digital Caviar WD1200JB	2001	120	7200	853
Seagate Barracuda 36ES	2001	36	7200	999
Western Digital Caviar WD1200BB	2001	120	7200	801
IBM Ultrastar 36Z15	2001	36	15000	2745
Seagate Cheetah 73LP	2001	74	10000	3105
Maxtor DiamondMax 541DX	2001	20	5400	376
Samsung SpinPoint SV6003H	2001	60	5400	534
Seagate Barracuda ATA IV	2001	40	7200	447
Maxtor D540X-4D	2001	60	5400	492
Western Digital WD360GD	2003	36	10000	554
Maxtor MaxLine Plus II	2003	240	7200	902
Seagate Barracuda ST340016A	2002	40	7200	849
Maxtor MaxLine III	2004	300	7200	1725
IBM Deskstar 60GXP	2002	60	7200	895
Seagate U6 ST340810A	2002	40	5400	802
Western Digital Caviar WD600AB	2002	60	5400	837
IBM Deskstar 120GXP	2002	120	7200	1003
Maxtor DiamondMax D540X-4K	2002	80	5400	972
Samsung SpinPoint SV8004H	2002	80	5400	966
Western Digital Caviar WD300BB	2004	300	5400	1619
Samsung SpinPoint SP1614C	2004	160	7200	852
Hitachi Deskstar 7K250	2004	120	7200	823
Western Digital Raptor WD740GD	2004	74	10000	1056
Seagate Barracuda ST3200822AS	2004	200	7200	900
Maxtor DiamondMax Plus9 6Y250MO	2004	250	7200	1197
Maxtor Atlas 15K II	2005	80	15000	2135
Seagate Cheetah 10K.6	2005	54	10000	1322
Hitachi HUS103030FL3800	2005	68	10000	4019
Maxtor DiamondMax 10	2005	300	7200	982
Maxtor DiamondMax 6B250S0	2005	250	7200	897
Seagate Cheetah ST3146854LW	2005	146	15000	4293
Samsung HD160J	2005	160	7200	765
Seagate Barracuda ST3500641AS	2006	500	7200	1839
Seagate Barracuda ST3400832NS	2006	400	7200	1326
Seagate Barracude ST3750640AS	2006	750	7200	2643
Samsung HD300LJ	2006	300	7200	889
Samsung HD400LJ	2006	400	7200	961
Western Digital WD5000KS	2006	500	7200	1433
Western Digital Raptor X	2006	150	10000	1732
Samsung SpinPoint SP2014N	2007	200	7200	472
Hitachi Deskstar T7K250	2007	250	5400	525
Samsung SpinPoint SP2514N	2007	250	7200	576
Western Digital WD3200JB	2007	320	7200	762
Samsung SpinPoint SP1604N	2007	160	5400	421
Samsung SpinPoint SP1614N	2007	160	7200	429
