GVC R21	2002	412	56000
ZyXEL Omni 56k NEO	2003	460	56000
GVC K2D	2003	440	56000
Acorp 56EMS	2001	278	56000
D-Link DFM-560E	2001	275	56000
Motorola ModemSURFR 24	2000	197	24000
Motorola ModemSURFR 33.6	2001	142	33600
Genius GM56E-V	2001	254	56000
Genius GM56E	2000	307	56000
LG LM-I56K	2001	262	56000
ZyXEL Omni 56K	2001	348	56000
3Com OfficeConnect 56K Business	2001	283	56000
GVC RF1 56K	2002	399	56000
Cisco UBR904	2000	681	64000
D-Link DSL-302G	2004	951	512000
Toshiba PCX 1000	2000	669	64000
Philips PD10d	2000	709	64000
D-Link DSL-50D	2003	812	256000
U.S. Robotics USR9003	2004	982	512000
ZyXEL Omni ADSL EE	2004	1118	512000
D-Link DSL-100D	2004	1050	512000
D-Link DSL-200	2004	1080	512000
SMC7401BRA	2004	992	512000
CellPipe 50A	2004	1009	512000
AusLinx AL-2007	2004	1126	512000
D-Link DSL-200I	2005	1325	512000
Aliied Telesyn AT-AR250E	2005	1127	512000
D-Link DSL-300T	2005	1439	512000
ZyXEL Prestige 630S EE	2006	861	1024000
D-Link DSL-504T	2006	956	1024000
Asotel Omni 56K Midi	2006	298	56000
