Samsung SyncMaster 550s	2001	812	15	49
Daewoo CMC-1505X	1995	511	15	10
Compaq 171FS	1995	527	17	12
Samsung Samtron 45b	1998	637	14	17
CTX PV520A	2002	2697	15	90
Iiyama HM704UTC	2001	1012	17	61
Samsung SyncMaster 757MB	2001	994	17	51
BenQ G781	2002	872	17	72
CTX EX 710F	2001	1253	17	66
GreenWood LC550RD	2002	855	15	63
Hansol 710D	2002	884	17	73
LG Flatron 795 FT Plus	2002	1019	17	79
Philips 107B3	2002	1349	17	78
Samsung 959 NF	2001	2442	19	79
Scott D17CL	2002	1002	17	77
Sony Multiscan E250	2001	2781	17	80
ViewSonic G75F	2002	983	17	74
Mitsubishi Diamond Pro 740SB	2002	1984	17	82
NEC MultiSync FE 750+	2002	1855	17	80
ViewSonic P70F	2002	2000	17	85
Samsung SyncMaster 152T	2002	1989	15	82
CTX PV520	2002	2613	15	88
LG Flatron EZ T910BU	2003	1798	19	90
BenQ P992	2003	1522	19	89
RoverScan 119GS	2003	1233	19	87
Samsung SyncMaster 957MB	2003	1823	19	91
Scott 995	2003	1631	19	90
Sony CPD-E450	2003	2467	14	93
Iiyama Visionmaster Pro 454	2003	2219	15	92
ViewSonic P95f+	2003	2054	19	91
NEC LCD1760NX	2003	3922	17	95
Samsung Samtron 76DF	2001	1038	17	55
ViewSonic VP171s	2004	2105	17	99
Sony SDM-X73	2004	2347	17	98
RoverScan Maxima 175	2004	2007	17	97
BenQ FP791	2004	2256	17	99
Sony SDM-HS73	2004	1983	17	98
Samsung SyncMaster 173P	2004	2399	17	97
RoverScan Optima 171	2004	1782	17	96
Acer AL1721m	2004	1835	17	97
MAG CY-765	2004	1766	17	96
FreshView IM510F	2002	803	15	60
Sony SDM-S73H	2004	2156	17	97
Philips 170S4	2004	1913	17	98
AOpen F70ES	2002	2105	17	82
Dell UlraSharp 1800FP	2003	1541	19	92
Philips 107P	2000	833	14	59
Nokia 445 Pro	2000	853	15	61
Sony HMD-A400	2000	801	15	56
BenQ FP567s	2004	1672	17	91
Iiyama ProLite H430	2004	2211	19	95
LG Flatron L1720P	2004	2009	17	89
Samsung SyncMaster 194T	2005	2631	19	91
Eizo FlexScan L578	2005	3007	17	92
Dell 1704 FPV	2005	1623	17	88
Iiyama ProLite E435s	2005	1426	17	86
Neovo M-19	2005	2127	19	89
LG Flatron M173WA	2005	2620	17	97
LG Flatron L1717S	2006	2159	17	94
Proview MA-782	2006	1430	17	92
Philips 190X5FB	2006	2728	19	96
BenQ FP72V	2006	2187	17	93
Sony SDM-X95K	2006	3122	19	97
NEC MultiSync 20WGX2	2006	3178	20	96
BenQ FP71V+	2006	2147	17	94
Acer Ferrari F-17	2006	3317	17	96
Philips 150X	2001	2571	15	92
Xerox XAP-192i	2006	2537	19	95
ViewSonic VP2030b	2006	3618	20	94
BenQ FP93GX	2006	2432	19	93
LG L204WT	2006	2552	20	96
Samsung SyncMaster 710MP	2006	1329	17	92
Xerox XM3-19w	2006	2099	19	94
Sony MFM-HT 95	2006	2579	19	92
Eizo FlexScan S1910	2006	3025	19	95
Samsung SyncMaster 244T	2007	6515	24	94
EIZO FlexScan 2410W	2007	9284	24	99
Dell 2407WFP	2007	5720	24	94
Sony SDM-P246W	2007	8002	24	93
Philips 230WP7	2007	6893	23	97
Acer AL2423W	2007	5921	24	95
