HP DeskJet 940C	2002	613	12
Canon Bubble-Jet BJC-1000	1999	400	5
HP LaserJet 1010	2004	1220	12
Epson FX286e	1995	403	4
Samsung ML-1750	2004	993	16
Epson LX100	1995	440	3
Samsung ML-2552W	2004	3210	24
Epson LX300+	1997	420	7
Canon LBP 810	2001	670	10
HP LaserJet 4200	2004	3565	33
Samsung ML-1250	2001	1140	15
HP DeskJet 920C	2002	575	9
Brother HL-1430	2004	1035	14
Lexmark E210	2001	821	12
HP DeskJet 995C	2002	703	17
Samsung ML-1210	2001	965	12
Xerox Phaser 3210	2001	969	12
Samsung ML-1220M	2001	813	11
Lexmark Z45	2001	655	10
OKI B4200	2003	1621	18
HP DeskJet 960C	2002	644	15
Epson S330 Photo	2003	613	14
Samsung ML-2151N	2004	2512	20
OKI C5100n	2003	5430	20
Epson AcuLaser C900	2003	3742	16
HP DeskJet 1220C	2002	681	11
HP Color LaserJet 2500L	2003	4951	16
Minolta-QMS Magicolor 2300DL	2003	5102	16
Epson AcuLaser C1000	2003	4833	20
Canon LaserShot LBP-1210	2002	1232	14
HP DeskJet 656C	2002	366	6
Canon S100	2002	407	5
Epson ELP-6100	2002	1981	16
HP PhotoSmart 1215	2002	671	15
Kyocera Mita FS-1010	2002	1712	14
Canon LBP-1120	2004	1235	10
Samsung ML-1450	2002	1102	14
Xerox Phaser 3310	2002	1354	14
Brother HL-1450	2002	1649	14
OKI Okipage 14e	2002	1240	14
HP LaserJet 1200	2002	1570	14
Samsung ML-1440	2002	1003	14
Canon S200	2002	452	6
HP LaserJet 1000w	2002	1149	10
Panasonic KX-P7100	2002	1055	14
Samsung ML-1510	2004	912	14
Ricoh Aficio CL7000	2004	3709	38
HP DeskJet 845C	2002	550	8
Samsung ML-1430	2002	987	14
Lexmark Z41	2000	766	9
Lexmark Z51	2000	835	13
HP DeskJet 922c	2000	640	8
HP DeskJet 950c	2000	712	10
HP DeskJet 980cxi	2000	854	13
Epson Stylus C50	2000	693	9
Epson Stylus C70	2000	723	11
Canon S400	2000	703	12
Canon S610	2000	803	14
Epson Stylus RX500	2005	917	37
Epson Stylus RX600	2005	1095	40
Canon SmartBase MP390	2005	735	37
Canon i990	2005	1629	40
Canon Pixma iP5000	2005	1000	38
Canon S830S	2005	1123	37
Epson Stylus R800	2005	1211	39
Brother HL-2040R	2005	788	20
Panasonic KX-P7305	2005	892	18
Kyocera Mita FS-1020D	2005	1077	20
Brother HL-5150D	2005	975	20
Lexmark E-232	2005	798	21
Samsung ML-1520	2005	772	16
Canon Pixma iP300	2005	838	22
Epson Stylus R300	2005	913	15
Lexmark P915	2005	845	22
OKI C3200	2005	1217	20
Kyocera FS-720	2006	1007	31
Kyocera FS-920	2006	1753	34
OKI B4100	2006	968	31
OKI B4250	2006	1349	40
Samsung ML-2250	2006	1150	32
Konica Minolta 1300W	2006	788	24
Canon LBP-3200	2006	1012	33
Brother HL-2030	2006	833	24
Samsung ML-1610	2006	885	30
Xerox Phaser 3150	2006	1128	26
HP LaserJet 1020	2006	850	29
HP LaserJet 1022	2006	1628	38
Epson EPL-6200L	2006	1097	30
Canon LBP-3000	2006	925	28
Brother HL-2460	2001	1776	24
HP DeskJet 5743	2006	627	22
Canon Pixma iP2200	2006	611	22
Canon Pixma iP1600	2006	548	20
Lexmark Z735	2006	537	21
Kyocera FS-3900DN	2006	1681	35
