Asus V7100	2000	MX2	3756	32	166	175	516	AGP	None
Elsa Gladiac MX	2000	MX2	3904	32	166	175	584	AGP	None
Gainward CARDEXpert GF2	2000	GTS	4627	64	333	200	708	AGP	None
Leadtek GF2	2000	GTS	4523	32	333	200	662	AGP	None
Matrox Millennium G450	2000	G450	3822	32	360	125	812	AGP	None
Diamond Viper 2 Z200	2000	2000	4115	64	166	150	603	AGP	None
Creative 3D Blaster GF2	2000	GTS	4423	32	333	200	650	AGP	None
PowerColor Radeon 8500	2002	8500	8794	64	550	275	812	AGP	None
Asus V9180	2002	M440	6250	64	570	305	782	AGP	None
ATI Radeon 9000 Pro	2002	9000	7416	64	550	275	839	AGP	None
Gainward GeForce 4 MX440	2002	M440	6280	64	512	275	756	AGP	None
MSI GeForce 4 MX 440 AGP 8x	2002	M440	6190	64	512	275	723	AGP	None
Gainward GeForce 4 MX460	2002	M460	6395	64	550	300	867	AGP	None
PixelView GeForce 4 MX 440-8x	2002	M440	6357	128	520	280	759	AGP	None
Albatron GeForce 4 MX 480	2002	M480	6187	64	512	300	742	AGP	None
DFI Xabre 400	2002	A400	6591	128	500	250	711	AGP	None
S-Media GeForce 4 MX 440 AGP 8x	2002	M440	6147	64	512	300	709	AGP	None
S-Media Radeon 9000	2002	9000	6817	64	400	250	715	AGP	None
Creative GeForce 4 MX 440	2002	M440	5939	64	405	270	738	AGP	None
Palit Daytona GeForce 4 MX 440	2002	M440	6001	64	405	270	692	AGP	None
Creative GeForce 4 MX 420	2002	M420	3981	64	166	250	695	AGP	None
Gainward FX5600 Ultra	2003	5600	12138	128	900	450	1124	AGP	None
Sapphire Radeon 9600 Pro	2003	9600	11927	128	600	400	921	AGP	None
PNY Vento GeForce FX 5600 Ultra	2003	5600	12038	256	800	400	1120	AGP	None
HIS Excalibur Radeon 9600 Pro	2003	9600	11935	128	600	400	956	AGP	None
MSI FX5600 VTDR128	2003	5600	10246	128	550	325	933	AGP	None
Asus V9560 Video Suite	2003	5600	10759	128	600	325	927	AGP	None
Leadtek WinFast A310 Ultra TD	2003	5600	10299	128	700	325	954	AGP	None
Sparkle SP8831 DV FX 5600	2003	5600	10283	128	550	325	902	AGP	None
Gainward FX5200 Ultra Pro	2003	5200	9153	128	700	355	952	AGP	None
Albatron Gigi FX5600 EQ	2003	5600	9642	256	400	325	955	AGP	None
Abit Siluro FX5600	2003	5600	9005	256	400	325	949	AGP	None
Albatron GeForce FX5200P	2003	5200	8652	128	400	250	763	AGP	None
MSI FX5200	2003	5200	8655	128	400	250	752	AGP	None
HIS Excalibur 9200 VIVO	2003	9200	8212	128	400	250	805	AGP	None
Gigabyte GV-R9200 VIVO	2003	9200	8256	128	400	250	859	AGP	None
Elsa Gladiac Radeon 9200 A64	2003	9200	8237	64	400	250	901	AGP	None
Leadtek WinFast A340 TDH	2003	5200	8713	128	400	250	872	AGP	None
AOpen Aeolus FX5200-DV64	2003	5200	8143	64	333	250	755	AGP	None
MSI Ti4200-VDT8X	2002	4200	9168	128	512	250	926	AGP	None
Albatron Ti4200 Medusa	2002	4200	9043	128	500	250	886	AGP	None
Sparkle SP7228DV	2002	4200	9071	128	513	250	920	AGP	None
Gainward Ultra/650-8X	2002	4200	9091	128	513	250	1056	AGP	None
Prolink PixelView GF4 Ti4200	2002	4200	8935	64	500	250	842	AGP	None
Creative 3D Blaster Titanium	2002	4200	9020	64	513	250	866	AGP	None
Leadtek WinFast GF4 Ti4600	2002	4600	10211	128	650	300	986	AGP	None
Triplex Millenium Silver Ti4200	2002	4200	9509	64	550	250	967	AGP	None
Club-3D GeForce 4 Ti4600	2002	4600	10043	64	650	300	1024	AGP	None
Inno 3D GeForce 4 Ti4200 DVI	2002	4200	9181	64	513	250	976	AGP	None
ATI Radeon 8500 128Mb	2001	8500	7720	128	275	275	1350	AGP	None
Club-3D CGA-8764TVD	2001	8500	7685	64	275	275	989	AGP	None
ATI Radeon 8500 64Mb	2001	8500	7519	64	275	275	1211	AGP	None
PowerColor AR2TD Pro	2001	8500	7513	64	275	275	955	AGP	None
Jetway R200A1D	2001	8500	7014	64	260	260	1047	AGP	None
PowerColor AR2TD LE	2001	8500	7008	64	250	250	910	AGP	None
Sapphire 1024-2149-30-SA	2001	8500	6984	64	250	250	919	AGP	None
Asus V9520/TD	2003	5200	8820	128	405	250	752	AGP	None
Hercules 3D Prophet FDX 8500 LE	2001	8500	6630	64	240	250	943	AGP	None
Club-3D Radeon 9700 Pro	2003	9700	13628	128	620	325	1815	AGP	None
Super Grace SG-R85LEA64T	2001	8500	6485	64	222	255	949	AGP	None
Gigabyte Radeon 9800 Pro	2003	9800	15897	128	680	380	2519	AGP	None
HIS Excalibur 9800 Pro	2003	9800	15722	128	680	380	2500	AGP	None
Gigabyte Maya II 9700 Pro	2003	9700	14503	128	620	325	1947	AGP	None
Tyan Tachyon G9700 Pro	2003	9700	14108	128	620	325	2055	AGP	None
Asus V9900/TD	2003	5800	12566	128	800	400	1992	AGP	None
PowerColor 9700 Pro	2003	9700	13433	128	620	325	2750	AGP	None
Sapphire Atlantis 9700 Pro	2003	9700	13558	128	620	325	2102	AGP	None
Prolink PixelView GF FX5800	2003	5800	12103	128	800	400	1885	AGP	None
Sapphire Altantis 9700	2003	9700	11589	128	540	275	1629	AGP	None
Club-3D Radeon 9700	2003	9700	11725	128	540	275	1437	AGP	None
Sparkle GF FX5600 128 Mb	2003	5600	9312	128	550	325	1105	AGP	None
Sapphire Altantis 9800 Pro	2003	9800	16172	128	680	380	2475	AGP	None
AOpen Aeolus GF FX5800	2003	5800	12434	128	800	400	2240	AGP	None
Club-3D Radeon 9500 Pro	2003	9500	11012	128	540	275	1018	AGP	None
Gigabyte Maya II 9500	2003	9500	9508	64	540	275	859	AGP	None
Sapphire Altantis 9500	2003	9500	9782	128	540	275	1029	AGP	None
Prolink PixelView GF FX5600	2003	5600	10581	128	550	325	1007	AGP	None
Creative GF FX5200 Ultra	2003	5200	9112	128	650	325	963	AGP	None
Sparkle GF FX5600 256 Mb	2003	5600	9408	256	400	325	1435	AGP	None
XGI Volari Duo V5 Ultra	2004	XGI8	15373	512	500	375	2825	AGP	None
Asus V9520	2003	5200	8612	128	400	250	797	AGP	None
Albatron Gigi GF FX5200P	2003	5200	8530	128	400	250	805	AGP	None
Chaintech GF FX5200	2003	5200	8597	128	400	250	716	AGP	None
Asus V9520 Magic	2003	5200	8476	64	405	250	684	AGP	None
ATI Radeon 9800 XT	2004	9800	16912	256	730	412	3163	AGP	None
nVidia GeForce 6800 Ultra	2004	6800	20567	256	1100	450	3745	AGP	None
ATI Radeon X800 XT	2004	X800	22598	256	1120	520	3750	AGP	None
MSI FX5700 Ultra MS-8938	2004	5700	14263	256	900	475	2344	AGP	None
Albatron GeForce FX5700 Ultra	2004	5700	14784	128	900	475	1832	AGP	None
ATI Radeon X800 Pro	2004	X800	21764	256	900	475	3195	AGP	None
Gigabyte GV-N595U256V	2004	5950	16349	256	950	475	2479	AGP	None
Creative 3D Blaster 4 Ti4400	2002	4400	9805	128	550	275	957	AGP	None
Palit Daytona GeForce 4 Ti 4200	2002	4200	9772	128	500	250	1025	AGP	None
Asus V9280S	2002	4200	8434	128	600	275	896	AGP	None
Triplex SiS Xabre Pro	2003	A600	6054	64	600	300	904	AGP	None
Albatron Medusa Ti4800SE	2003	4800	10059	128	500	275	969	AGP	None
S3 Graphics DeltaChrome M128	2003	Delt	13537	256	600	300	1643	AGP	None
Abit Siluro FX5900 OTES	2003	5900	12989	128	850	400	1567	AGP	None
Leadtek WinFast A400 Ultra TDH	2004	6800	21324	256	1150	475	3300	AGP	None
ATI Radeon 7500	2001	7500	4076	128	230	290	540	AGP	None
Asus AX800 XT/TVD	2004	X800	23717	256	1120	520	3892	AGP	None
MSI Radeon X600XT	2004	X600	17239	128	730	500	1377	PCI	None
Gigabyte GV-NX57128D	2004	5750	14932	128	950	550	1211	PCI	None
Asus Extreme EAX800 XT/2DT	2005	X800	24308	256	1000	500	3429	PCI	None
Asus AX800 Pro/TD	2005	X800	22759	256	900	475	2345	AGP	None
Sapphire Toxic X800 Pro	2005	X800	22784	256	900	475	3012	AGP	None
Leadtek WinFast A400 GT	2005	6800	23015	256	1000	350	2418	AGP	None
XFX GeForce 6800 GT	2005	6800	22547	256	1000	350	2243	AGP	None
Chaintech AA6800 Turbo	2005	6800	21790	128	770	358	1852	AGP	None
Galaxy Glacier GeForce 6800	2005	6800	21433	128	700	350	1992	AGP	None
Leadtek WinFast PX6800 TDH	2005	6800	20998	256	600	325	2077	AGP	None
Gigabyte GV-NX66T128D	2005	6600	20996	128	1000	500	1354	PCI	None
Leadtek WinFast PX6600 GT TDH	2005	6600	20991	128	1000	500	1514	PCI	SLI
Leadtek WinFast A6600 GT TDH	2005	6600	20992	128	900	500	1424	AGP	None
S3 Chrome S27	2006	SC27	18178	128	1400	700	724	PCI	MH
Asus EAX700 Pro/TVD	2005	X700	20048	256	860	425	1682	PCI	None
Sapphire X700 Pro Toxic	2005	X700	19997	128	865	425	1620	PCI	None
Gigabyte GV-RX70P256V	2005	X700	20107	256	865	425	1456	PCI	None
PowerColor GameFX Radeon X700	2005	X700	20003	128	945	425	1138	PCI	None
Albatron Trinity PC6600U	2005	6600	19982	128	702	400	826	PCI	SLI
MSI NX6600-TD256E	2005	6600	17634	256	500	300	871	PCI	None
Galaxy GeForce 6600	2005	6600	18141	256	550	325	1007	PCI	None
Asus EAX600XT	2005	X600	16893	128	740	500	972	PCI	None
Chaintech GeForce 6600	2005	6600	17669	256	500	300	918	PCI	None
MSI RX600-TD128	2005	X600	16590	128	730	500	886	PCI	None
Albatron Trinity PCX5900	2005	5900	15138	128	700	350	904	PCI	None
Abit RX600 Pro-Guru	2005	X600	14337	256	500	400	736	PCI	None
MSI PCX5750-TD128	2005	5750	14102	128	500	425	800	PCI	None
PowerColor GameFX Radeon X300	2005	X300	14006	256	400	325	658	PCI	None
Leadtek WinFast PX6200	2005	6200	13367	256	575	385	599	PCI	None
Albatron Trinity PCX5750	2005	5750	13077	128	500	425	623	PCI	None
Gigabyte GV-R80P256D	2004	X800	22762	256	900	475	2822	AGP	None
Sapphire Radeon X850 XT	2005	X850	23649	256	1080	520	3138	PCI	None
Sapphire Radeon X1800XL	2005	X180	27130	256	1000	500	3672	PCI	CF
Leadtek WinFast PX7800GTX TDH	2005	7800	28637	256	1250	450	3225	PCI	SLI
MSI GeForce NX6800 GS	2005	6800	21144	256	1000	425	1036	PCI	SLI
GeCube X700 Professional	2005	X700	19625	128	800	400	753	PCI	None
Sapphire X1300Pro	2005	X130	16698	256	800	600	947	PCI	None
Sapphire X800 GTO	2005	X800	22484	256	980	400	1002	PCI	None
XFX nVidia GeForce 6600 DDR-2	2005	6600	19177	256	800	400	788	PCI	None
MSI ATI Radeon X1300Pro	2005	X130	18056	256	800	600	992	PCI	None
Gainward Ultra 3500PCX XP	2005	7800	29583	256	1300	470	3433	PCI	SLI
GeCube Radeon X1900XTX	2006	X190	32198	512	1550	650	3687	PCI	CF
Gainward Ultra 3400PCX	2006	7800	29140	256	1100	490	2433	PCI	SLI
PowerColor Radeon X1900 XT	2006	X190	31005	512	1760	580	3312	PCI	CF
AOpen Aeolus 7800 GTX	2006	7800	29987	256	1255	490	2672	PCI	SLI
Sapphire Radeon X1800 XT	2006	X180	28344	512	1500	625	3012	PCI	CF
Chaintech Apogee AE78GTX	2006	7800	28340	256	1200	470	2775	PCI	SLI
Gigabyte GV-NX78X	2006	7800	28298	256	1200	470	2811	PCI	SLI
PowerColor Radeon X1800 XT	2006	X180	27622	256	1050	490	2830	PCI	CF
Leadtek WinFast PX7600 GT TDH	2006	7600	26229	256	1400	560	1323	PCI	SLI
Palit GeForce 6800GS Super 512	2006	6800	26117	512	1300	490	1459	PCI	SLI
PowerColor Radeon X1800 GTO	2006	X180	26653	256	1000	425	1442	PCI	CF
Gigabyte GV-RX16T256V-RH	2006	X160	20052	256	1386	590	1249	PCI	CF
GeCube RX1600XTG3-D3	2006	X160	20049	256	1386	590	972	PCI	CF
Palit X1600 Pro Golden	2006	X160	18898	256	1300	580	907	PCI	CF
MSI NX7300GS-TD256E	2006	7300	15568	256	810	550	541	PCI	None
Gigabyte GV-NX73G128D	2006	7300	15002	128	810	550	552	PCI	None
MSI NX6500-TD128E	2006	6500	14295	128	500	400	428	PCI	None
